LOCATION,POWER,SELF-PROTECTION,Average earth discharge density DDT [Rays/km^2-año],Maximum ground discharge density DDT [Rays/km^2-año],Burning rate  [Failures/year],Criticality according to previous study for ceramics level,Removable connectors,Type of clients,Number of users,Electric power not supplied EENS [kWh] ,Type of installation,Air network,Circuit Queue,km of network LT:,Burned transformers 2019
1,75,0,3.15560166,6.6,0,0,1,STRATUM 3,34,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.20012,0
1,45,0,3.15560166,6.6,0,0,1,STRATUM 2,17,729,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.6717,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 4,85,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.54353,0
1,15,0,3.15560166,6.6,0,0,1,STRATUM 3,1,243,POLE,1,1,0,0
1,50,0,3.15560166,6.6,0,0,1,STRATUM 1,143,810,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.85701,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 4,30,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.20904,0
1,45,0,3.15560166,6.6,0,0,1,STRATUM 5,45,729,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.20639,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 4,60,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.28252,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 4,51,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.20504,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 4,36,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.20816,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 2,17,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.9213,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 2,120,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.5236,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 4,23,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.10244,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 1,27,1215,POLE WITH ANTI-FRAUD NET,1,1,0.14071,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 3,67,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.17034,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 2,55,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.24508,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 3,146,1822.5,POLE WITH ANTI-FRAUD NET,1,0,0.34724,1
1,30,0,3.15560166,6.6,0,0,1,STRATUM 3,8,486,MACRO WITHOUT ANTI-FRAUD NET,1,0,0,0
1,75,0,3.15560166,6.6,0,0,1,COMMERCIAL,146,2025,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.53825,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 3,26,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.8657,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 3,34,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.11468,0
1,30,0,3.15560166,6.6,0,0,1,COMMERCIAL,1,810,POLE WITH ANTI-FRAUD NET,1,0,0.13458,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 4,35,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.12505,0
1,15,0,3.15560166,6.6,0,0,1,COMMERCIAL,1,405,POLE,1,0,0,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 4,42,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.27938,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 4,57,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.37551,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 4,32,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.5849,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 2,56,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.25414,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 4,36,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.25974,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 4,45,1822.5,EN H,1,0,0.61165,0
1,45,0,3.15560166,6.6,0,0,1,STRATUM 2,18,729,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.6063,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 2,191,1822.5,EN H,1,0,0.29602,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 3,106,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.20565,0
1,25,0,3.15560166,6.6,0,0,1,STRATUM 1,77,405,POLE WITH ANTI-FRAUD NET,1,0,0.80962,0
1,30,0,3.15560166,6.6,0,0,1,STRATUM 2,43,486,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.47266,0
1,45,0,3.15560166,6.6,0,0,1,STRATUM 3,30,729,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.11639,0
1,125,0,3.15560166,6.6,0,0,1,STRATUM 3,177,2025,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.57195,0
1,45,0,3.15560166,6.6,0,0,1,STRATUM 2,107,729,POLE WITH ANTI-FRAUD NET,1,1,0.53333,0
0,25,0,3.15560166,6.6,0,1,0,STRATUM 1,1,727.2,POLE,1,0,0,0
1,112.5,0,3.15560166,6.6,0,0,1,COMMERCIAL,1,3037.5,POLE,1,0,0.25839,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 3,94,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.35905,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 4,46,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.22003,0
1,45,0,3.15560166,6.6,0,0,1,STRATUM 3,71,729,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.39881,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 3,114,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.58841,0
1,225,0,3.15560166,6.6,0,0,1,STRATUM 3,71,3645,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.23894,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 5,46,1822.5,POLE,1,0,0,0
1,45,0,3.15560166,6.6,0,0,1,STRATUM 3,75,729,POLE,1,0,0.18345,0
1,75,1,3.15560166,6.6,0.25,0,1,STRATUM 4,81,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.40552,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 4,79,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.39924,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 4,33,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 1,72,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.60203,0
1,45,0,3.15560166,6.6,0,0,1,STRATUM 2,77,729,POLE WITH ANTI-FRAUD NET,1,1,0.38921,0
1,45,0,3.15560166,6.6,0,0,1,STRATUM 2,63,729,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.26483,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 2,126,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.50186,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 3,33,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.7466,0
1,50,0,3.15560166,6.6,0,0,1,STRATUM 2,104,810,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.77506,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 2,115,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.56893,0
1,37.5,0,3.15560166,6.6,0,0,1,STRATUM 1,110,607.5,POLE WITH ANTI-FRAUD NET,1,1,0.73716,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 5,28,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.27875,0
1,37.5,0,3.15560166,6.6,0,0,1,STRATUM 2,101,607.5,POLE,1,0,0.43425,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 3,62,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.28313,0
0,25,0,3.15560166,6.6,0,0,0,STRATUM 1,150,742.5,POLE,1,1,0.81494,0
0,37.5,0,3.15560166,6.6,0,1,0,STRATUM 1,24,945,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.43066,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 3,36,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.108,0
1,30,0,3.15560166,6.6,0,0,1,COMMERCIAL,1,810,POLE,1,1,0,0
1,50,0,3.15560166,6.6,0,0,1,STRATUM 3,95,810,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.23925,0
0,37.5,0,3.15560166,6.6,0,0,0,STRATUM 1,105,945,MACRO WITHOUT ANTI-FRAUD NET,1,0,12841,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 5,29,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.17751,0
0,37.5,0,3.15560166,6.6,0.25,1,1,STRATUM 1,60,607.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.5438,0
0,10,0,3.15560166,6.6,0.25,1,1,STRATUM 1,13,162,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.42621,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 2,149,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.53538,0
1,30,0,3.15560166,6.6,0,0,1,STRATUM 5,10,486,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.4123,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 4,37,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.14939,0
1,30,0,3.15560166,6.6,0,0,1,STRATUM 4,13,486,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.3261,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 2,33,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.15994,0
1,50,0,3.15560166,6.6,0,0,1,STRATUM 4,58,810,MACRO WITHOUT ANTI-FRAUD NET,1,1,0,0
1,45,0,3.15560166,6.6,0,0,1,STRATUM 3,23,729,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.6257,0
1,150,0,3.15560166,6.6,0,0,1,COMMERCIAL,1,4050,POLE,1,0,0,0
1,30,0,3.15560166,6.6,0,0,1,COMMERCIAL,10,810,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.25931,0
1,75,0,3.15560166,6.6,0.25,0,1,COMMERCIAL,19,2025,POLE WITH ANTI-FRAUD NET,1,0,0.7262,0
1,45,0,3.15560166,6.6,0,0,1,STRATUM 4,24,729,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.12668,0
1,45,0,3.15560166,6.6,0,0,1,COMMERCIAL,21,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.18672,0
1,25,0,3.15560166,6.6,0,0,1,STRATUM 1,3,405,POLE,1,0,0,0
1,112.5,0,3.15560166,6.6,0.25,0,1,COMMERCIAL,106,3037.5,POLE WITH ANTI-FRAUD NET,1,1,0.4242,0
1,112.5,0,3.15560166,6.6,0.5,0,1,STRATUM 5,40,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.1838,0
1,45,0,3.15560166,6.6,0,0,1,STRATUM 4,44,729,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.24698,0
1,45,0,3.15560166,6.6,0,0,1,STRATUM 3,58,729,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.22693,0
1,45,0,3.15560166,6.6,0,0,1,STRATUM 3,70,729,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.16605,0
1,45,0,3.15560166,6.6,0,0,1,STRATUM 2,13,729,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.2632,0
1,37.5,0,3.15560166,6.6,0,0,1,STRATUM 3,62,607.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.35845,0
1,45,0,3.15560166,6.6,0,0,1,STRATUM 5,21,729,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.15998,0
1,45,0,3.15560166,6.6,0,0,1,COMMERCIAL,1,1215,POLE,1,0,0.16273,0
1,75,0,3.15560166,6.6,0,0,1,OFFICIAL,1,2025,POLE,1,1,0,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 2,76,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.25566,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 2,34,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.8583,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 2,13,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.16109,0
1,112.5,0,3.15560166,6.6,0.25,0,1,STRATUM 2,95,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.32129,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 2,72,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.38308,0
1,45,0,3.15560166,6.6,0,0,1,STRATUM 2,107,729,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.42717,0
1,150,0,3.15560166,6.6,0,0,1,STRATUM 4,61,2430,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.7156,0
1,45,0,3.15560166,6.6,0,0,1,STRATUM 2,39,729,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.27504,0
0,300,0,3.15560166,6.6,0,0,0,COMMERCIAL,2,8100,POLE,1,1,0,0
1,50,0,3.15560166,6.6,0,0,1,COMMERCIAL,1,1350,POLE,1,1,0,0
1,30,0,3.15560166,6.6,0,0,1,OFFICIAL,1,810,POLE,1,0,0,0
1,30,0,3.15560166,6.6,0,0,1,COMMERCIAL,1,810,POLE,1,0,0,0
1,37.5,0,3.15560166,6.6,0,0,1,STRATUM 2,87,607.5,POLE WITH ANTI-FRAUD NET,1,1,0.38133,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 4,55,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.40051,0
1,30,0,3.15560166,6.6,0,0,1,STRATUM 1,43,486,POLE WITH ANTI-FRAUD NET,1,1,0.25378,0
1,45,0,3.15560166,6.6,0,0,1,STRATUM 3,106,729,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.50549,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 3,105,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.34006,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 4,34,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.18326,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 4,26,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.15813,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 2,46,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.1303,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 1,135,1215,POLE WITH ANTI-FRAUD NET,1,0,0.77711,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 2,102,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.34239,0
1,45,0,3.15560166,6.6,0,0,1,STRATUM 3,32,729,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.16311,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 3,86,1215,POLE WITH ANTI-FRAUD NET,1,0,0.29418,0
1,112.5,0,3.15560166,6.6,0,0,1,COMMERCIAL,15,3037.5,POLE,1,0,0.197,0
0,37.5,0,3.15560166,6.6,0,0,0,STRATUM 2,75,945,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.61214,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 1,60,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.30023,0
1,50,0,3.15560166,6.6,0,0,1,STRATUM 1,56,810,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.24176,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 1,58,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.33994,0
1,25,0,3.15560166,6.6,0,0,1,STRATUM 1,45,405,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.24143,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 3,68,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.21995,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 3,119,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.41457,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 2,74,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.43074,0
0,5,0,3.15560166,6.6,0,0,0,STRATUM 2,8,275.4,POLE,1,1,0.48997,0
1,45,0,3.15560166,6.6,0,0,1,STRATUM 3,103,729,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.21413,0
0,37.5,0,3.15560166,6.6,0,1,0,STRATUM 1,46,1032.3,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.38309,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 3,127,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.65874,0
0,5,0,3.15560166,6.6,0,0,0,STRATUM 1,5,382.5,POLE,1,1,0.29807,0
0,25,0,3.15560166,6.6,0,0,0,STRATUM 1,19,599.4,POLE,1,1,0.48613,0
0,15,0,3.15560166,6.6,0,1,0,STRATUM 1,22,667.8,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.60498,0
0,45,0,3.15560166,6.6,0,1,0,STRATUM 1,18,729,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.55407,0
1,30,0,3.15560166,6.6,0,0,1,STRATUM 2,35,486,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.19242,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 2,144,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.66934,0
1,15,0,3.15560166,6.6,0,0,1,STRATUM 2,1,243,POLE,1,1,0,0
1,37.5,0,3.15560166,6.6,0,0,1,STRATUM 2,61,607.5,POLE WITH ANTI-FRAUD NET,1,0,0.32379,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 3,35,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.1687,0
1,37.5,0,3.15560166,6.6,0,0,1,STRATUM 2,111,607.5,POLE WITH ANTI-FRAUD NET,1,0,0.37035,0
1,45,0,3.15560166,6.6,0,0,1,STRATUM 6,68,729,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.26237,0
1,45,0,3.15560166,6.6,0,0,1,STRATUM 5,51,729,POLE,1,0,0.40586,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 5,35,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.34498,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 3,52,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.2865,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 4,129,1215,POLE WITH ANTI-FRAUD NET,1,1,0.44777,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 3,42,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.36169,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 3,31,1215,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.121,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 3,41,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.27631,0
1,45,0,3.15560166,6.6,0.25,0,1,STRATUM 2,121,729,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.24512,0
1,45,0,3.15560166,6.6,0,0,1,STRATUM 2,106,729,POLE WITH ANTI-FRAUD NET,1,0,0.56448,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 2,228,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.78724,0
1,45,0,3.15560166,6.6,0,0,1,STRATUM 2,150,729,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.33348,0
1,125,0,3.15560166,6.6,0,0,1,STRATUM 4,52,2025,POLE WITH ANTI-FRAUD NET,1,1,0.17366,0
1,30,0,3.15560166,6.6,0,0,1,COMMERCIAL,4,810,POLE,1,0,0,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 2,64,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.34548,0
1,37.5,0,3.15560166,6.6,0,0,1,STRATUM 2,147,607.5,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.72637,0
1,30,0,3.15560166,6.6,0,0,1,STRATUM 2,102,486,POLE,1,0,0,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 2,53,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.23167,0
1,112.5,0,3.15560166,6.6,0,0,1,STRATUM 1,185,1822.5,MACRO WITHOUT ANTI-FRAUD NET,1,1,0.6799,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 3,42,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.24155,0
1,75,0,3.15560166,6.6,0,0,1,STRATUM 3,64,1215,MACRO WITHOUT ANTI-FRAUD NET,1,0,0.30914,0
